"pump_status","sensor_readings__|","sensor_readings__|__ldr","sensor_readings__|__pump_status","sensor_readings__|__soil_moisture","sensor_readings__|__temperature","sensor_readings__|__timestamp"
"","1643","2368","False","546","24","1643"
"","1648","2309","False","541","24.0625","1648"
"","1652","2359","False","545","24.0625","1652"
"","1658","2388","False","550","24.0625","1658"
"","1662","2373","False","546","24","1662"
"","1666","2352","False","548","24.0625","1666"
"","1670","2357","False","547","24","1670"
"","1675","2358","False","547","24","1675"
"","1679","2385","False","547","24","1679"
"","1684","2358","False","547","24","1684"
"","1688","2386","False","546","24","1688"
"","1692","2384","False","547","24","1692"
"","1696","2383","False","545","24","1696"
"","1701","2387","False","545","24","1701"
"","1705","2387","False","544","24","1705"
"","1709","2375","False","544","24","1709"
"","1714","2375","False","543","23.9375","1714"
"","1718","2398","False","543","23.9375","1718"
"","1724","2410","False","547","23.9375","1724"
"","1728","2402","False","543","24","1728"
"","1732","2398","False","545","23.9375","1732"
"","1736","2395","False","547","24","1736"
"","1741","2388","False","547","23.9375","1741"
"","1745","2410","False","545","24","1745"
"","1749","2418","False","546","24","1749"
"","1754","2421","False","545","23.9375","1754"
"","1758","2406","False","547","23.9375","1758"
"","1763","2432","False","546","23.9375","1763"
"","1767","2427","False","549","23.9375","1767"
"","1771","2407","False","547","23.9375","1771"
"","1776","2399","False","544","23.875","1776"
